"","Title","Link","Author","Date","Num_of_comments"
"20","Fujifilm’s new Instax Square SQ1 brings the instant camera back to its basics","https://www.theverge.com/21431103/fujifilm-instax-square-sq1-instant-camera-review-price-specs-features","Becca Farsace","Sep 16, 2020",6
"21","Google Magenta’s Lo-Fi Player lets you create your own virtual music room","https://www.theverge.com/2020/9/5/21424092/google-magenta-lo-fi-player-virtual-music-room-ai","Kim Lyons","Sep  5, 2020",NA
"22","OpenAI’s latest breakthrough is astonishingly powerful, but still fighting its flaws","https://www.theverge.com/21346343/gpt-3-explainer-openai-examples-errors-agi-potential","James Vincent","Jul 30, 2020",16
"23","Sony opens registration for invite-only PlayStation 5 preorders ","https://www.theverge.com/2020/8/26/21403245/sony-playstation-5-preorders-invite-only-registration-dualsense-accessories","Chaim Gartenberg","Aug 26, 2020",28
"24","Suikoden follow-up Eiyuden Chronicle successfully funded on Kickstarter","https://www.theverge.com/2020/7/27/21340344/eiyuden-chronicle-suikoden-spiritual-successor-kickstarter-funded","Andrew Webster","Jul 27, 2020",2
"25","Where cats glow green: weird feline science in New Orleans","https://www.theverge.com/2013/11/6/4841714/where-cats-glow-green-weird-feline-science-acres-in-new-orleans","Adrianne Jeffries","Nov  6, 2013",38
"26","Help this Chechen warlord find his lost kitty","https://www.theverge.com/2016/5/24/11759044/first-click-ramzan-kadyrov-lost-cat-instagram","Amar Toor","May 24, 2016",4
"27","Slugcats and survival: staying alive in the darkness of 'Rain World'","https://www.theverge.com/2014/1/17/5316926/rain-world-slugcat","Andrew Webster","Jan 17, 2014",21
"28","There's something eerily beautiful about these pictures of Sphynx cats","https://www.theverge.com/2015/3/27/8299213/sphynx-cats-best-cat-pictures-alicia-rius","Arielle Duhaime-Ross","Mar 27, 2015",43
"29","Everything I know about a good death I learned from my cat","https://www.theverge.com/2015/2/23/8069825/everything-i-know-about-a-good-death-i-learned-from-my-cat","Elizabeth Lopatto","Feb 23, 2015",124
"30","Magic: The Gathering embraces punk aesthetics for its latest limited time drop","https://www.theverge.com/2020/8/18/21373538/magic-prime-slime-secret-lair-amazing-punk-art","Grayson Blackmon","Aug 18, 2020",NA
